group,value
WT,124.30053875166752
WT,103.55132862384895
WT,94.45771029253125
WT,99.00551447823113
WT,97.74404709974968
WT,99.3725845339237
WT,72.71914659049799
WT,95.13100970122505
WT,110.08569508050411
WT,88.31437735540021
WT,99.33299809151663
WT,109.53505373781144
WT,108.56176765859807
WT,114.9105199663465
WT,82.98586655552089
WT,96.46623993236119
WT,96.59050011400734
WT,106.23289845942193
WT,110.91787503870067
WT,73.17170429217678
WT,110.88679290269806
WT,85.52456577737347
WT,106.83149876102306
WT,85.07861596629036
WT,101.75852733397116
WT,111.94654610342508
WT,98.50680389114045
WT,101.91103091148516
WT,107.971236448445
WT,101.41377195147213
WT,99.11518618147467
WT,115.33256059460746
WT,110.48470725876062
WT,97.06184940509978
WT,127.45325222713014
WT,88.53160955682355
WT,109.14609115686658
WT,97.34285422688245
WT,101.32365716890723
WT,107.05005618165902
KO,87.22222132193885
KO,91.38645307662081
KO,69.72674637336355
KO,69.9048891787836
KO,91.14942589651405
KO,75.36841504533982
KO,74.73351752284296
KO,70.29860612728343
KO,97.66380051069751
KO,92.46558008879111
KO,99.73074722316588
KO,75.6226230735419
KO,85.01006361176401
KO,73.5969309763299
KO,92.66037385179284
KO,100.89422893387732
KO,76.09778998363534
KO,100.60331722877474
KO,94.88029493619207
KO,83.221653330173
KO,65.28029314070203
KO,99.06631736935783
KO,84.03739508153438
KO,78.97171754708461
KO,88.9959538048472
KO,89.09964334468252
KO,99.98095038887867
KO,74.79859189273375
KO,96.3623732053448
KO,99.87360381407538
KO,99.52236009901708
KO,83.19375426765777
KO,77.55971448081158
KO,95.18572724611593
KO,86.15185312610282
KO,86.24189485864156
KO,99.24214629128952
KO,82.36563532895127
KO,62.03274789190935
KO,81.12808792833681
Rescue,77.4607681789088
Rescue,104.18783330909865
Rescue,99.17034787163955
Rescue,89.88792848670852
Rescue,95.90400702256204
Rescue,104.32624013070085
Rescue,96.78945090691114
Rescue,109.26521512195447
Rescue,95.38715184494566
Rescue,106.40334766781699
Rescue,110.91480761977549
Rescue,112.09892983744426
Rescue,89.28180624606884
Rescue,104.79904208532204
Rescue,77.24004093034718
Rescue,85.16650605048389
Rescue,76.37208486684005
Rescue,106.6898562254335
Rescue,83.68065277130447
Rescue,95.8723595717415
Rescue,94.07786019475373
Rescue,95.71402472226421
Rescue,90.08478223464856
Rescue,98.33663175314362
Rescue,113.91267088220306
Rescue,96.4426855356724
Rescue,101.30982148919416
Rescue,106.0051936776721
Rescue,94.02052309108171
Rescue,83.40308868161367
Rescue,90.44604528462642
Rescue,106.73594739367367
Rescue,79.53774429150788
Rescue,90.02154179449488
Rescue,106.07410652629471
Rescue,103.92736649857606
Rescue,96.07618128232683
Rescue,104.0523579587245
Rescue,97.6597943232984
Rescue,84.21084542542732
