row,col,value
G0,S0,-1.563942369215198
G0,S1,-0.9389521365384299
G0,S2,0.32273011022091236
G0,S3,-1.4655451517563949
G0,S4,-2.102358600460415
G0,S5,-2.2709605117789753
G1,S0,-1.2317669524976806
G1,S1,-0.11727492029984514
G1,S2,-1.4796069523217883
G1,S3,-0.23585403319132447
G1,S4,-3.2600964126154564
G1,S5,-0.8722187904339058
G2,S0,-0.041610756799317694
G2,S1,-1.6421479266214765
G2,S2,0.724709448402856
G2,S3,-0.575508251441208
G2,S4,-2.8300367831585773
G2,S5,-1.775063197015029
G3,S0,1.1910242448191195
G3,S1,0.1414177894907956
G3,S2,1.079983687525831
G3,S3,0.7475569414124802
G3,S4,0.36623664164230524
G3,S5,-0.2733747119045644
G4,S0,2.533696949635578
G4,S1,1.5598341701579237
G4,S2,1.0512181743988895
G4,S3,-1.7839789025441661
G4,S4,0.8965557800878597
G4,S5,1.0094251555769684
G5,S0,1.2031019173185893
G5,S1,0.7304925593165814
G5,S2,2.8402984589295466
G5,S3,-1.158132539484284
G5,S4,0.7688569329916133
G5,S5,2.423715777281978
